Time,PlayerX,PlayerY,PlayerZ,Speed,Round,ElapsedTime,CarLX,CarLY,CarLZ,CarRX,CarRY,CarRZ
1774926634,-309.9854,70.30229,-97.03,3,2,0,0,0,0,0,0,0
1774926634,-309.9724,70.30229,-97.03,3,2,0,0,0,0,0,0,0
1774926634,-309.9658,70.30229,-97.03,3,2,0,0,0,0,0,0,0
1774926634,-309.9604,70.30229,-97.03,3,2,0,0,0,0,0,0,0
1774926634,-309.9536,70.30229,-97.03,3,2,0,0,0,0,0,0,0
1774926634,-309.948,70.30229,-97.03,3,2,0,0,0,0,0,0,0
1774926634,-309.9436,70.30229,-97.03,3,2,0,0,0,0,0,0,0
1774926634,-309.9371,70.30229,-97.03,3,2,0,0,0,0,0,0,0
1774926634,-309.9321,70.30229,-97.03,3,2,0,0,0,0,0,0,0
1774926634,-309.9262,70.30229,-97.03,3,2,0,0,0,0,0,0,0
1774926634,-309.9217,70.30229,-97.03,3,2,0,0,0,0,0,0,0
1774926634,-309.9156,70.30229,-97.03,3,2,0,0,0,0,0,0,0
1774926634,-309.9105,70.30229,-97.03,3,2,0,0,0,0,0,0,0
1774926634,-309.9047,70.30229,-97.03,3,2,0,0,0,0,0,0,0
1774926634,-309.8991,70.30229,-97.03,3,2,0,0,0,0,0,0,0
1774926634,-309.8932,70.30229,-97.03,3,2,0,0,0,0,0,0,0
1774926634,-309.8878,70.30229,-97.03,3,2,0,0,0,0,0,0,0
1774926634,-309.8829,70.30229,-97.03,3,2,0,0,0,0,0,0,0
1774926634,-309.8774,70.30229,-97.03,3,2,0,0,0,0,0,0,0
1774926634,-309.8728,70.30229,-97.03,3,2,0,0,0,0,0,0,0
1774926634,-309.8667,70.30229,-97.03,3,2,0,0,0,0,0,0,0
1774926634,-309.8619,70.30229,-97.03,3,2,0,0,0,0,0,0,0
1774926634,-309.8559,70.30229,-97.03,3,2,0,0,0,0,0,0,0
1774926634,-309.8506,70.30229,-97.03,3,2,0,0,0,0,0,0,0
1774926634,-309.8444,70.30229,-97.03,3,2,0,0,0,0,0,0,0
1774926634,-309.8383,70.30229,-97.03,3,2,0,0,0,0,0,0,0
1774926634,-309.8325,70.30229,-97.03,3,2,0,0,0,0,0,0,0
1774926634,-309.8267,70.30229,-97.03,3,2,0,0,0,0,0,0,0
1774926634,-309.8217,70.30229,-97.03,3,2,0,0,0,0,0,0,0
1774926634,-309.816,70.30229,-97.03,3,2,0,0,0,0,0,0,0
1774926634,-309.8114,70.30229,-97.03,3,2,0,0,0,0,0,0,0
1774926634,-309.8055,70.30229,-97.03,3,2,0,0,0,0,0,0,0
1774926634,-309.8011,70.30229,-97.03,3,2,0,0,0,0,0,0,0
1774926634,-309.7953,70.30229,-97.03,3,2,0,0,0,0,0,0,0
1774926634,-309.7899,70.30229,-97.03,3,2,0,0,0,0,0,0,0
1774926634,-309.7846,70.30229,-97.03,3,2,0,0,0,0,0,0,0
1774926634,-309.7791,70.30229,-97.03,3,2,0,0,0,0,0,0,0
1774926634,-309.7738,70.30229,-97.03,3,2,0,0,0,0,0,0,0
1774926634,-309.7681,70.30229,-97.03,3,2,0,0,0,0,0,0,0
1774926634,-309.7637,70.30229,-97.03,3,2,0,0,0,0,0,0,0
1774926634,-309.758,70.30229,-97.03,3,2,0,0,0,0,0,0,0
1774926634,-309.7537,70.30229,-97.03,3,2,0,0,0,0,0,0,0
1774926634,-309.7484,70.30229,-97.03,3,2,0,0,0,0,0,0,0
1774926634,-309.7436,70.30229,-97.03,3,2,0,0,0,0,0,0,0
1774926634,-309.7376,70.30229,-97.03,3,2,0,0,0,0,0,0,0
1774926634,-309.7328,70.30229,-97.03,3,2,0,0,0,0,0,0,0
1774926634,-309.7274,70.30229,-97.03,3,2,0,0,0,0,0,0,0
1774926634,-309.723,70.30229,-97.03,3,2,0,0,0,0,0,0,0
1774926634,-309.7171,70.30229,-97.03,3,2,0,0,0,0,0,0,0
1774926634,-309.711,70.30229,-97.03,3,2,0,0,0,0,0,0,0
1774926634,-309.7056,70.30229,-97.03,3,2,0,0,0,0,0,0,0
1774926634,-309.7004,70.30229,-97.03,3,2,0,0,0,0,0,0,0
1774926634,-309.6948,70.30229,-97.03,3,2,0,0,0,0,0,0,0
1774926634,-309.6892,70.30229,-97.03,3,2,0,0,0,0,0,0,0
1774926634,-309.6844,70.30229,-97.03,3,2,0,0,0,0,0,0,0
1774926634,-309.6789,70.30229,-97.03,3,2,0,0,0,0,0,0,0
1774926634,-309.6744,70.30229,-97.03,3,2,0,0,0,0,0,0,0
1774926634,-309.6687,70.30229,-97.03,3,2,0,0,0,0,0,0,0
1774926634,-309.6642,70.30229,-97.03,3,2,0,0,0,0,0,0,0
1774926634,-309.6585,70.30229,-97.03,3,2,0,0,0,0,0,0,0
1774926634,-309.6417,70.30229,-97.03,3,2,0,0,0,0,0,0,0
1774926634,-309.6345,70.30229,-97.03,3,2,0,0,0,0,0,0,0
1774926634,-309.6287,70.30229,-97.03,3,2,0,0,0,0,0,0,0
1774926634,-309.623,70.30229,-97.03,3,2,0,0,0,0,0,0,0
1774926634,-309.6167,70.30229,-97.03,3,2,0,0,0,0,0,0,0
1774926634,-309.6124,70.30229,-97.03,3,2,0,0,0,0,0,0,0
1774926634,-309.6069,70.30229,-97.03,3,2,0,0,0,0,0,0,0
1774926634,-309.6026,70.30229,-97.03,3,2,0,0,0,0,0,0,0
1774926634,-309.5973,70.30229,-97.03,3,2,0,0,0,0,0,0,0
1774926634,-309.5921,70.30229,-97.03,3,2,0,0,0,0,0,0,0
1774926634,-309.5861,70.30229,-97.03,3,2,0,0,0,0,0,0,0
1774926634,-309.5816,70.30229,-97.03,3,2,0,0,0,0,0,0,0
1774926634,-309.5758,70.30229,-97.03,3,2,0,0,0,0,0,0,0
1774926634,-309.571,70.30229,-97.03,3,2,0,0,0,0,0,0,0
1774926634,-309.5652,70.30229,-97.03,3,2,0,0,0,0,0,0,0
1774926634,-309.561,70.30229,-97.03,3,2,0,0,0,0,0,0,0
1774926634,-309.5554,70.30229,-97.03,3,2,0,0,0,0,0,0,0
1774926634,-309.5507,70.30229,-97.03,3,2,0,0,0,0,0,0,0
1774926634,-309.5454,70.30229,-97.03,3,2,0,0,0,0,0,0,0
1774926634,-309.5413,70.30229,-97.03,3,2,0,0,0,0,0,0,0
1774926634,-309.5358,70.30229,-97.03,3,2,0,0,0,0,0,0,0
1774926634,-309.5301,70.30229,-97.03,3,2,0,0,0,0,0,0,0
1774926634,-309.5247,70.30229,-97.03,3,2,0,0,0,0,0,0,0
1774926634,-309.5189,70.30229,-97.03,3,2,0,0,0,0,0,0,0
1774926634,-309.5141,70.30229,-97.03,3,2,0,0,0,0,0,0,0
1774926634,-309.5084,70.30229,-97.03,3,2,0,0,0,0,0,0,0
1774926634,-309.504,70.30229,-97.03,3,2,0,0,0,0,0,0,0
1774926634,-309.4983,70.30229,-97.03,3,2,0,0,0,0,0,0,0
1774926634,-309.493,70.30229,-97.03,3,2,0,0,0,0,0,0,0
1774926634,-309.4876,70.30229,-97.03,3,2,0,0,0,0,0,0,0
1774926634,-309.4833,70.30229,-97.03,3,2,0,0,0,0,0,0,0
1774926634,-309.4768,70.30229,-97.03,3,2,0,0,0,0,0,0,0
1774926634,-309.4712,70.30229,-97.03,3,2,0,0,0,0,0,0,0
1774926634,-309.465,70.30229,-97.03,3,2,0,0,0,0,0,0,0
1774926634,-309.4609,70.30229,-97.03,3,2,0,0,0,0,0,0,0
1774926634,-309.4558,70.30229,-97.03,3,2,0,0,0,0,0,0,0
1774926634,-309.4514,70.30229,-97.03,3,2,0,0,0,0,0,0,0
1774926634,-309.446,70.30229,-97.03,3,2,0,0,0,0,0,0,0
1774926634,-309.4416,70.30229,-97.03,3,2,0,0,0,0,0,0,0
1774926634,-309.4361,70.30229,-97.03,3,2,0,0,0,0,0,0,0
1774926634,-309.4318,70.30229,-97.03,3,2,0,0,0,0,0,0,0
1774926634,-309.4263,70.30229,-97.03,3,2,0,0,0,0,0,0,0
1774926634,-309.4214,70.30229,-97.03,3,2,0,0,0,0,0,0,0
1774926634,-309.4155,70.30229,-97.03,3,2,0,0,0,0,0,0,0
1774926634,-309.4097,70.30229,-97.03,3,2,0,0,0,0,0,0,0
1774926634,-309.4041,70.30229,-97.03,3,2,0,0,0,0,0,0,0
1774926634,-309.3987,70.30229,-97.03,3,2,0,0,0,0,0,0,0
1774926634,-309.3935,70.30229,-97.03,3,2,0,0,0,0,0,0,0
1774926634,-309.3878,70.30229,-97.03,3,2,0,0,0,0,0,0,0
1774926634,-309.3834,70.30229,-97.03,3,2,0,0,0,0,0,0,0
1774926634,-309.3772,70.30229,-97.03,3,2,0,0,0,0,0,0,0
1774926634,-309.3727,70.30229,-97.03,3,2,0,0,0,0,0,0,0
1774926634,-309.3665,70.30229,-97.03,3,2,0,0,0,0,0,0,0
1774926634,-309.3613,70.30229,-97.03,3,2,0,0,0,0,0,0,0
1774926634,-309.356,70.30229,-97.03,3,2,0,0,0,0,0,0,0
1774926634,-309.3506,70.30229,-97.03,3,2,0,0,0,0,0,0,0
1774926634,-309.3453,70.30229,-97.03,3,2,0,0,0,0,0,0,0
1774926634,-309.3404,70.30229,-97.03,3,2,0,0,0,0,0,0,0
1774926634,-309.3344,70.30229,-97.03,3,2,0,0,0,0,0,0,0
1774926634,-309.3289,70.30229,-97.03,3,2,0,0,0,0,0,0,0
1774926634,-309.3244,70.30229,-97.03,3,2,0,0,0,0,0,0,0
1774926634,-309.3187,70.30229,-97.03,3,2,0,0,0,0,0,0,0
1774926634,-309.313,70.30229,-97.03,3,2,0,0,0,0,0,0,0
1774926634,-309.3072,70.30229,-97.03,3,2,0,0,0,0,0,0,0
1774926634,-309.3029,70.30229,-97.03,3,2,0,0,0,0,0,0,0
1774926634,-309.2971,70.30229,-97.03,3,2,0,0,0,0,0,0,0
1774926634,-309.2915,70.30229,-97.03,3,2,0,0,0,0,0,0,0
1774926634,-309.2859,70.30229,-97.03,3,2,0,0,0,0,0,0,0
1774926634,-309.2817,70.30229,-97.03,3,2,0,0,0,0,0,0,0
1774926634,-309.2762,70.30229,-97.03,3,2,0,0,0,0,0,0,0
1774926634,-309.2708,70.30229,-97.03,3,2,0,0,0,0,0,0,0
1774926634,-309.2652,70.30229,-97.03,3,2,0,0,0,0,0,0,0
1774926634,-309.2605,70.30229,-97.03,3,2,0,0,0,0,0,0,0
1774926634,-309.2445,70.30229,-97.03,3,2,0,0,0,0,0,0,0
1774926634,-309.2386,70.30229,-97.03,3,2,0,0,0,0,0,0,0
1774926634,-309.2326,70.30229,-97.03,3,2,0,0,0,0,0,0,0
1774926634,-309.2267,70.30229,-97.03,3,2,0,0,0,0,0,0,0
1774926634,-309.2219,70.30229,-97.03,3,2,0,0,0,0,0,0,0
1774926634,-309.2159,70.30229,-97.03,3,2,0,0,0,0,0,0,0
1774926634,-309.2116,70.30229,-97.03,3,2,0,0,0,0,0,0,0
1774926634,-309.2057,70.30229,-97.03,3,2,0,0,0,0,0,0,0
1774926634,-309.1928,70.30229,-97.03,3,2,0,0,0,0,0,0,0
1774926634,-309.1865,70.30229,-97.03,3,2,0,0,0,0,0,0,0
1774926634,-309.1809,70.30229,-97.03,3,2,0,0,0,0,0,0,0
1774926634,-309.1753,70.30229,-97.03,3,2,0,0,0,0,0,0,0
1774926634,-309.1696,70.30229,-97.03,3,2,0,0,0,0,0,0,0
1774926634,-309.1634,70.30229,-97.03,3,2,0,0,0,0,0,0,0
1774926634,-309.1581,70.30229,-97.03,3,2,0,0,0,0,0,0,0
1774926634,-309.1536,70.30229,-97.03,3,2,0,0,0,0,0,0,0
1774926634,-309.1482,70.30229,-97.03,3,2,0,0,0,0,0,0,0
1774926634,-309.144,70.30229,-97.03,3,2,0,0,0,0,0,0,0
1774926634,-309.1384,70.30229,-97.03,3,2,0,0,0,0,0,0,0
1774926634,-309.1332,70.30229,-97.03,3,2,0,0,0,0,0,0,0
1774926634,-309.1266,70.30229,-97.03,3,2,0,0,0,0,0,0,0
1774926634,-309.1214,70.30229,-97.03,3,2,0,0,0,0,0,0,0
1774926634,-309.1152,70.30229,-97.03,3,2,0,0,0,0,0,0,0
1774926634,-309.1098,70.30229,-97.03,3,2,0,0,0,0,0,0,0
1774926634,-309.1044,70.30229,-97.03,3,2,0,0,0,0,0,0,0
1774926634,-309.0988,70.30229,-97.03,3,2,0,0,0,0,0,0,0
1774926634,-309.0944,70.30229,-97.03,3,2,0,0,0,0,0,0,0
1774926634,-309.0883,70.30229,-97.03,3,2,0,0,0,0,0,0,0
1774926634,-309.0835,70.30229,-97.03,3,2,0,0,0,0,0,0,0
1774926634,-309.0784,70.30229,-97.03,3,2,0,0,0,0,0,0,0
1774926634,-309.0741,70.30229,-97.03,3,2,0,0,0,0,0,0,0
1774926634,-309.0673,70.30229,-97.03,3,2,0,0,0,0,0,0,0
